"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","grupos"
"95",5.6,2.7,4.2,1.3,"versicolor",3
"96",5.7,3,4.2,1.2,"versicolor",3
"97",5.7,2.9,4.2,1.3,"versicolor",3
"98",6.2,2.9,4.3,1.3,"versicolor",3
"99",5.1,2.5,3,1.1,"versicolor",3
"100",5.7,2.8,4.1,1.3,"versicolor",3
"101",6.3,3.3,6,2.5,"virginica",1
"102",5.8,2.7,5.1,1.9,"virginica",3
"103",7.1,3,5.9,2.1,"virginica",1
"104",6.3,2.9,5.6,1.8,"virginica",1
"105",6.5,3,5.8,2.2,"virginica",1
"106",7.6,3,6.6,2.1,"virginica",1
"107",4.9,2.5,4.5,1.7,"virginica",3
"108",7.3,2.9,6.3,1.8,"virginica",1
"109",6.7,2.5,5.8,1.8,"virginica",1
"110",7.2,3.6,6.1,2.5,"virginica",1
"111",6.5,3.2,5.1,2,"virginica",1
"112",6.4,2.7,5.3,1.9,"virginica",1
"113",6.8,3,5.5,2.1,"virginica",1
"114",5.7,2.5,5,2,"virginica",3
"115",5.8,2.8,5.1,2.4,"virginica",3
"116",6.4,3.2,5.3,2.3,"virginica",1
"117",6.5,3,5.5,1.8,"virginica",1
"118",7.7,3.8,6.7,2.2,"virginica",1
"119",7.7,2.6,6.9,2.3,"virginica",1
"120",6,2.2,5,1.5,"virginica",3
"121",6.9,3.2,5.7,2.3,"virginica",1
"122",5.6,2.8,4.9,2,"virginica",3
"123",7.7,2.8,6.7,2,"virginica",1
"124",6.3,2.7,4.9,1.8,"virginica",3
"125",6.7,3.3,5.7,2.1,"virginica",1
"126",7.2,3.2,6,1.8,"virginica",1
"127",6.2,2.8,4.8,1.8,"virginica",3
"128",6.1,3,4.9,1.8,"virginica",3
"129",6.4,2.8,5.6,2.1,"virginica",1
"130",7.2,3,5.8,1.6,"virginica",1
"131",7.4,2.8,6.1,1.9,"virginica",1
"132",7.9,3.8,6.4,2,"virginica",1
"133",6.4,2.8,5.6,2.2,"virginica",1
"134",6.3,2.8,5.1,1.5,"virginica",3
"135",6.1,2.6,5.6,1.4,"virginica",1
"136",7.7,3,6.1,2.3,"virginica",1
"137",6.3,3.4,5.6,2.4,"virginica",1
"138",6.4,3.1,5.5,1.8,"virginica",1
"139",6,3,4.8,1.8,"virginica",3
"140",6.9,3.1,5.4,2.1,"virginica",1
"141",6.7,3.1,5.6,2.4,"virginica",1
"142",6.9,3.1,5.1,2.3,"virginica",1
"143",5.8,2.7,5.1,1.9,"virginica",3
"144",6.8,3.2,5.9,2.3,"virginica",1
"145",6.7,3.3,5.7,2.5,"virginica",1
"146",6.7,3,5.2,2.3,"virginica",1
"147",6.3,2.5,5,1.9,"virginica",3
"148",6.5,3,5.2,2,"virginica",1
"149",6.2,3.4,5.4,2.3,"virginica",1
"150",5.9,3,5.1,1.8,"virginica",3
